1,158.05882
10,116.35294
100,57.588234
101,72.588234
102,164.23529
103,188.82353
104,179.29411
105,213.17647
106,155.47058
107,133.64706
108,132.64706
109,203.41176
110,172.82353
111,84.64706
112,96.64706
113,256.82352
114,214.17647
115,204.52942
120,184.41176
121,1.7647059
122,107.35294
123,42.705883
13,224.47058
14,320.7647
17,106.94118
18,247.76471
19,203.35294
20,97.17647
22,12.058824
23,103.17647
24,102.35294
25,101.882355
26,67.23529
28,102.82353
30,83.29412
32,128.05882
33,96.76471
34,135.58824
40,192.88235
41,153.0
42,138.05882
43,262.41177
44,234.82353
45,132.41176
46,179.82353
47,219.88235
48,161.82353
49,179.52942
5,107.588234
50,103.882355
52,225.58824
6,166.47058
60,147.76471
61,133.64706
62,128.64706
63,143.23529
66,130.41176
67,279.52942
68,103.23529
69,114.47059
7,81.0
70,205.58824
71,165.88235
72,136.64706
73,242.11765
75,387.41177
76,68.47059
77,172.94118
78,90.882355
79,198.47058
81,156.64706
83,188.41176
84,113.64706
88,117.117645
9,147.11765
90,179.41176
94,86.411766
