2009,2010,2011,2012
26,26,26,26
7,7,7,7
33,33,33,33
23,23,24,23
24,24,23,24
50,50,50,50
41,45,45,45
45,41,41,49
49,48,48,40
48,49,49,41
94,94,78,69
78,69,69,72
88,62,88,66
69,66,62,62
77,60,66,60
101,100,100,111
112,101,101,112
111,112,111,101
108,111,112,108
107,107,107,107
121,121,121,121
122,122,122,123
120,120,120,122
,,,120
