1,15099
10,11398
100,5409
101,10105
102,15674
103,17730
104,23339
105,29831
106,20859
107,6692
108,15651
109,31159
110,15627
111,13224
112,10858
113,10435
114,18704
115,12736
120,10765
121,19303
122,24916
123,16052
13,3298
14,2403
17,15143
18,12216
19,9984
20,11140
22,0
23,9613
24,7353
25,3550
26,9330
28,0
30,6500
32,4189
33,12107
34,14156
40,5800
41,6104
42,8965
43,19016
44,5707
45,7912
46,12080
47,9329
48,5366
49,14680
5,0
50,8751
52,22916
6,10606
60,2709
61,17390
62,16560
63,18003
66,15725
67,17593
68,19969
69,9392
7,8142
70,9035
71,5415
72,11632
73,7097
75,20408
76,5375
77,6456
78,15991
79,15178
81,15029
83,5430
84,7177
88,4609
9,13973
90,18819
94,5005
