1,13864
10,10358
100,5993
101,9491
102,15218
103,17205
104,22860
105,29295
106,20563
107,7015
108,16050
109,28125
110,15874
111,13003
112,10340
113,9424
114,19404
115,12842
120,9815
121,16479
122,23237
123,13741
13,3117
14,2386
17,13781
18,13743
19,8227
20,10265
22,0
23,9319
24,6649
25,3148
26,9522
28,0
30,5445
32,3914
33,11606
34,13512
40,5655
41,5802
42,9211
43,18954
44,6201
45,7588
46,11630
47,8621
48,4942
49,14106
5,0
50,8079
52,22401
6,10003
60,2721
61,17021
62,15682
63,17909
66,14711
67,18775
68,19510
69,9162
7,8392
70,9090
71,5496
72,10772
73,7192
75,20374
76,4687
77,6105
78,15361
79,15317
81,15112
83,5877
84,7720
88,4607
9,14245
90,17045
94,5533
